t=2025-10-30T17:29:48-0400 lvl=info msg="no configuration paths supplied"
t=2025-10-30T17:29:48-0400 lvl=info msg="using configuration at default config path" path=/home/drack_xull/.config/ngrok/ngrok.yml
t=2025-10-30T17:29:48-0400 lvl=info msg="open config file" path=/home/drack_xull/.config/ngrok/ngrok.yml err=nil
t=2025-10-30T17:29:48-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-30T17:29:49-0400 lvl=info msg="update available" obj=updater
t=2025-10-30T17:29:49-0400 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-30T17:29:49-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-30T17:29:49-0400 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://127.0.0.1:8000 url=https://stallion-tough-secretly.ngrok-free.app
t=2025-10-30T17:29:50-0400 lvl=info msg="join connections" obj=join id=b569c0979aba l=127.0.0.1:8000 r=212.15.80.195:7432
t=2025-10-30T17:29:57-0400 lvl=info msg="join connections" obj=join id=bf29c02c6a21 l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:29:57-0400 lvl=info msg="join connections" obj=join id=27f21a5100eb l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:30:04-0400 lvl=info msg="join connections" obj=join id=51417240915a l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:30:04-0400 lvl=info msg="join connections" obj=join id=f4c9bb8a9981 l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:30:19-0400 lvl=info msg="join connections" obj=join id=147c2a1f67fb l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:30:28-0400 lvl=info msg="join connections" obj=join id=aaa9f939b071 l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:30:58-0400 lvl=info msg="join connections" obj=join id=800629a6023e l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:31:15-0400 lvl=info msg="join connections" obj=join id=d054cf2762bf l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:31:28-0400 lvl=info msg="join connections" obj=join id=97997c711ebb l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:31:59-0400 lvl=info msg="join connections" obj=join id=fbb7ec34da6d l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:32:29-0400 lvl=info msg="join connections" obj=join id=c65f2bd16eee l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:32:59-0400 lvl=info msg="join connections" obj=join id=edc5a69eaacf l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:33:29-0400 lvl=info msg="join connections" obj=join id=ddb6d673d0dc l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:33:58-0400 lvl=info msg="join connections" obj=join id=e20e94af259b l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:34:29-0400 lvl=info msg="join connections" obj=join id=fe113bc13590 l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:34:59-0400 lvl=info msg="join connections" obj=join id=d241cd7c1d2a l=127.0.0.1:8000 r=212.15.80.195:15012
t=2025-10-30T17:41:07-0400 lvl=info msg="join connections" obj=join id=185ce29a285d l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:41:10-0400 lvl=info msg="join connections" obj=join id=89bfd1c3f7d7 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:41:10-0400 lvl=info msg="join connections" obj=join id=e56819f7f947 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:41:10-0400 lvl=info msg="join connections" obj=join id=7e65990b604d l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:41:41-0400 lvl=info msg="join connections" obj=join id=9be3a5e0ef75 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:42:11-0400 lvl=info msg="join connections" obj=join id=e6eea8a94f5d l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:42:41-0400 lvl=info msg="join connections" obj=join id=fd3929ce9f79 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:42:45-0400 lvl=info msg="join connections" obj=join id=f2e4fb694f8b l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:42:54-0400 lvl=info msg="join connections" obj=join id=a06a4f7f98c7 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:42:54-0400 lvl=info msg="join connections" obj=join id=d4530b8349f1 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:43:19-0400 lvl=info msg="join connections" obj=join id=0b8ba9c40f57 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:43:29-0400 lvl=info msg="join connections" obj=join id=3bb3ad415eda l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:43:59-0400 lvl=info msg="join connections" obj=join id=27de697e2012 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:44:29-0400 lvl=info msg="join connections" obj=join id=4ede8f4e31a1 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:44:36-0400 lvl=info msg="join connections" obj=join id=307e3b7c86dd l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:44:41-0400 lvl=info msg="join connections" obj=join id=c5e352fbe7a7 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:44:59-0400 lvl=info msg="join connections" obj=join id=32d34ddd53d2 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:45:29-0400 lvl=info msg="join connections" obj=join id=bc0e992bfd58 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:45:59-0400 lvl=info msg="join connections" obj=join id=266be0eb1839 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:46:29-0400 lvl=info msg="join connections" obj=join id=a39765e76776 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:47:00-0400 lvl=info msg="join connections" obj=join id=714da10ec662 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:47:30-0400 lvl=info msg="join connections" obj=join id=4bd10a7e402d l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:48:00-0400 lvl=info msg="join connections" obj=join id=4723cb6d1710 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:48:30-0400 lvl=info msg="join connections" obj=join id=b829aacf074a l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:49:00-0400 lvl=info msg="join connections" obj=join id=a4ff12b5515a l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:49:31-0400 lvl=info msg="join connections" obj=join id=be0f2dd3327a l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:50:00-0400 lvl=info msg="join connections" obj=join id=55ecf4f1cb25 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:50:30-0400 lvl=info msg="join connections" obj=join id=21d088bdc42a l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:51:00-0400 lvl=info msg="join connections" obj=join id=555230a596b2 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:51:30-0400 lvl=info msg="join connections" obj=join id=cebb0dc5c4ad l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:52:01-0400 lvl=info msg="join connections" obj=join id=bc2ff1060e4d l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:52:31-0400 lvl=info msg="join connections" obj=join id=a4e0bc336637 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:53:01-0400 lvl=info msg="join connections" obj=join id=9af48d01cd16 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:53:31-0400 lvl=info msg="join connections" obj=join id=cf26e847b12b l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:54:01-0400 lvl=info msg="join connections" obj=join id=ce967cbba185 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:54:32-0400 lvl=info msg="join connections" obj=join id=9e48124c3248 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:55:01-0400 lvl=info msg="join connections" obj=join id=dfa2661867d2 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:55:31-0400 lvl=info msg="join connections" obj=join id=27211169a152 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:56:01-0400 lvl=info msg="join connections" obj=join id=775670872829 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:56:32-0400 lvl=info msg="join connections" obj=join id=935fa6f0bc61 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:57:02-0400 lvl=info msg="join connections" obj=join id=426e5214bcc2 l=127.0.0.1:8000 r=212.15.80.195:36352
t=2025-10-30T17:57:32-0400 lvl=info msg="join connections" obj=join id=a3e7821b512b l=127.0.0.1:8000 r=212.15.80.195:36352
